group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.001,True,CosineAnnealingLR,0.0001,0.724479638130954,0.04782173278610265,3,"[0.7696560196560197, 0.7454769736842105, 0.6583059210526315]",0.720448933758194,0.05276133766676516,3,"[0.7270136778115501, 0.7815351583467525, 0.6527979651162791]"
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7282094819101399,0.025364439895208604,3,"[0.7483619983619985, 0.7438322368421053, 0.6924342105263157]",0.7221117632170128,0.034432107586869425,3,"[0.765387537993921, 0.7198067632850242, 0.6811409883720931]"
lstm_lr_1e-3_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.1,True,CosineAnnealingLR,0.0001,0.7288475863722573,0.018592601724725846,3,"[0.7328009828009827, 0.7493832236842105, 0.7043585526315788]",0.6965718434098438,0.03460413779485701,3,"[0.7049772036474163, 0.7341205940239756, 0.6506177325581395]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.001,0.7249273608237424,0.051003795883242976,3,"[0.7929975429975431, 0.7115542763157894, 0.6702302631578948]",0.6120295153071772,0.05950496201496547,3,"[0.5318199088145897, 0.6741814278046161, 0.6300872093023255]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.0001,0.6968333652132994,0.033830193580463186,3,"[0.7403767403767403, 0.6922286184210527, 0.6578947368421052]",0.6895121507753372,0.010938281937691587,3,"[0.6797112462006079, 0.704777241009125, 0.6840479651162791]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.001,0.7350184926254005,0.0363214812464378,3,"[0.7805077805077806, 0.7329358552631579, 0.6916118421052632]",0.5936904103198758,0.03376750882378955,3,"[0.5919452887537994, 0.6358919305779209, 0.553234011627907]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.0001,0.7291318681121313,0.03271951662589321,3,"[0.7753890253890254, 0.7049753289473685, 0.70703125]",0.6261453866716675,0.008414542968915468,3,"[0.6170212765957446, 0.637323313651816, 0.6240915697674418]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.001,0.6707042531466874,0.019300158259993462,3,"[0.6541769041769042, 0.66015625, 0.6977796052631579]",0.6569309640265278,0.020758659061041053,3,"[0.6352583586626139, 0.6849168008588298, 0.6506177325581396]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.0001,0.7217892047250601,0.01928814077066741,3,"[0.7325962325962326, 0.738075657894737, 0.6946957236842106]",0.7156437566531428,0.04685848461582949,3,"[0.7108662613981763, 0.7752728573984613, 0.6607921511627908]"
