group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.001,True,CosineAnnealingLR,0.0001,0.7335759802865066,0.05193600244838163,3,"[0.782964782964783, 0.7559621710526315, 0.6618009868421053]",0.5596758835412992,0.07190245265653704,3,"[0.6595744680851064, 0.4932903918411165, 0.5261627906976744]"
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7252155153059757,0.050433047204467236,3,"[0.7827600327600327, 0.732935855263158, 0.659950657894737]",0.6716231256464592,0.1017953945636308,3,"[0.7201747720364741, 0.7647164072284844, 0.5299781976744187]"
lstm_lr_1e-3_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.1,True,CosineAnnealingLR,0.0001,0.7032612195029958,0.05534298738723176,3,"[0.7506142506142506, 0.7335526315789475, 0.6256167763157895]",0.4954078297209679,0.06333814239425128,3,"[0.5771276595744681, 0.4863123993558776, 0.42278343023255816]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.001,True,CosineAnnealingLR,0.001,0.694334828997658,0.05108319442750288,3,"[0.7633087633087634, 0.678453947368421, 0.6412417763157895]",0.5507954412977735,0.049390634437165674,3,"[0.5102583586626139, 0.6203256396493111, 0.5218023255813954]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.001,True,CosineAnnealingLR,0.0001,0.6869699955637456,0.03517034712068701,3,"[0.7366912366912368, 0.6609786184210525, 0.6632401315789475]",0.4185450580243908,0.02517010095127035,3,"[0.42040273556231006, 0.3868312757201647, 0.4484011627906976]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.01,True,CosineAnnealingLR,0.001,0.6762634344871188,0.01586941796442214,3,"[0.6981981981981983, 0.669407894736842, 0.6611842105263157]",0.5356224193872539,0.02315860562626362,3,"[0.553951367781155, 0.5029522275899088, 0.5499636627906977]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.01,True,CosineAnnealingLR,0.0001,0.682201471058379,0.037849287323704475,3,"[0.7158067158067158, 0.7014802631578947, 0.6293174342105263]",0.5603343182191578,0.021649426393535565,3,"[0.5908054711246201, 0.5476829486491323, 0.542514534883721]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.1,True,CosineAnnealingLR,0.001,0.6199350142606721,0.01884685747312847,3,"[0.5954135954135953, 0.6231496710526315, 0.6412417763157895]",0.5138928613278319,0.06225133238902304,3,"[0.5754179331306991, 0.5376632671318661, 0.42859738372093026]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.1,True,CosineAnnealingLR,0.0001,0.6737693322808455,0.004294584436881937,3,"[0.6678951678951679, 0.6780427631578947, 0.6753700657894737]",0.5875129948562484,0.07198696596059506,3,"[0.6620440729483282, 0.610305958132045, 0.4901889534883721]"
