group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.001,True,CosineAnnealingLR,0.0001,0.7231567879183011,0.05784496683638413,3,"[0.7848075348075348, 0.7388980263157895, 0.645764802631579]",0.5168825679640415,0.0086603120644784,3,"[0.5277355623100305, 0.5163714439076759, 0.5065406976744186]"
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.01,True,CosineAnnealingLR,0.0001,0.715979024778367,0.05732115802527731,3,"[0.7717035217035217, 0.7391036184210527, 0.6371299342105264]",0.5407055077423977,0.09734117728102039,3,"[0.5959346504559271, 0.622293791375917, 0.4038880813953489]"
lstm_lr_1e-3_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.1,True,CosineAnnealingLR,0.0001,0.6526028869778869,0.01543671959636898,3,"[0.6609336609336609, 0.6659128289473685, 0.6309621710526316]",0.5738485314927252,0.09198053622850338,3,"[0.6430471124620061, 0.6346394703882626, 0.4438590116279069]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.001,0.6846542640128167,0.031927524754071124,3,"[0.7262489762489763, 0.6790707236842105, 0.6486430921052632]",0.4937064925599787,0.043483604276133125,3,"[0.4686550151975683, 0.45759527643585624, 0.5548691860465117]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.0001,0.706294530924465,0.022099790059976723,3,"[0.7375102375102376, 0.6920230263157895, 0.6893503289473684]",0.5330028944523847,0.010672351960973058,3,"[0.5480623100303951, 0.524601896582573, 0.526344476744186]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.001,0.6529736038370907,0.026610413256674688,3,"[0.6404586404586404, 0.6284950657894736, 0.6899671052631579]",0.5846195704357647,0.0766471723076106,3,"[0.5832066869300913, 0.6791912685632493, 0.49146075581395354]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.0001,0.6998874435140882,0.011539912860250374,3,"[0.7121212121212122, 0.6844161184210525, 0.703125]",0.5379085507036009,0.035899293391922764,3,"[0.5165273556231003, 0.588477366255144, 0.5087209302325582]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.001,0.6449667090086498,0.04184840402637026,3,"[0.6072891072891073, 0.624280427631579, 0.7033305921052632]",0.46077001577430066,0.048934176670418716,3,"[0.5045592705167172, 0.3924673465736267, 0.48528343023255816]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.0001,0.6641539303957068,0.036662376606268324,3,"[0.6332923832923834, 0.6435032894736842, 0.7156661184210527]",0.5873111598745636,0.06354184473678452,3,"[0.6312689969604863, 0.6332080873143674, 0.4974563953488371]"
