group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-5_lambda_1e-3_No_scheduler_epochs_100,1e-05,0.001,False,None,N/A,0.721936425061425,0.038504423045507906,3,"[0.7751842751842752, 0.7051809210526315, 0.6854440789473684]",0.7157206533233517,0.05902099230649858,3,"[0.7739361702127661, 0.738414743245661, 0.6348110465116279]"
fusion_lstm_lr_1e-5_lambda_1e-2_No_scheduler_epochs_100,1e-05,0.01,False,None,N/A,0.7147564168534563,0.03499777849256866,3,"[0.7637182637182637, 0.6965460526315789, 0.6840049342105263]",0.7212171774171766,0.05701467385697285,3,"[0.7636778115501518, 0.7593487207013777, 0.640625]"
fusion_lstm_lr_1e-5_lambda_1e-1_No_scheduler_epochs_100,1e-05,0.1,False,None,N/A,0.669076410441542,0.02350555843635401,3,"[0.6918509418509419, 0.63671875, 0.6786595394736842]",0.6864973804013544,0.047210612491733354,3,"[0.7034574468085106, 0.7339416711397388, 0.622093023255814]"
fusion_lstm_lr_1e-5_lambda_1e+00_No_scheduler_epochs_100,1e-05,1.0,False,None,N/A,0.5401835185963476,0.0320439195229269,3,"[0.5821048321048321, 0.5043174342105263, 0.5341282894736843]",0.5895234017713682,0.0644029234863104,3,"[0.6312689969604863, 0.6387546967257113, 0.49854651162790703]"
fusion_lstm_lr_1e-4_lambda_1e-3_No_scheduler_epochs_100,0.0001,0.001,False,None,N/A,0.7490226657578631,0.045305873323989554,3,"[0.8130630630630631, 0.71875, 0.7152549342105263]",0.7024028151716846,0.05847982157415204,3,"[0.7689969604863222, 0.711576310610127, 0.6266351744186046]"
fusion_lstm_lr_1e-4_lambda_1e-2_No_scheduler_epochs_100,0.0001,0.01,False,None,N/A,0.749579611010532,0.0405020503976966,3,"[0.8067158067158067, 0.717516447368421, 0.7245065789473684]",0.7135670568986008,0.061276358732648285,3,"[0.7602583586626139, 0.7534442655215603, 0.6269985465116279]"
fusion_lstm_lr_1e-4_lambda_1e-1_No_scheduler_epochs_100,0.0001,0.1,False,None,N/A,0.740692789829303,0.035259772155324554,3,"[0.7905405405405406, 0.7168996710526314, 0.7146381578947368]",0.7113522392121919,0.034971978664585325,3,"[0.7224544072948328, 0.7475398103417428, 0.6640625]"
fusion_lstm_lr_1e-4_lambda_1e+00_No_scheduler_epochs_100,0.0001,1.0,False,None,N/A,0.6563830202810466,0.03215411331648149,3,"[0.652948402948403, 0.6188322368421053, 0.6973684210526315]",0.6843298239716016,0.01733539862257631,3,"[0.7015577507598784, 0.6908212560386474, 0.6606104651162791]"
fusion_lstm_lr_3e-4_lambda_1e-3_No_scheduler_epochs_100,0.0003,0.001,False,None,N/A,0.7455975338376654,0.04863908276116979,3,"[0.8120393120393121, 0.7277960526315789, 0.6969572368421052]",0.7144900405762687,0.040505117534256764,3,"[0.7351823708206687, 0.750402576489533, 0.6578851744186047]"
fusion_lstm_lr_3e-4_lambda_1e-2_No_scheduler_epochs_100,0.0003,0.01,False,None,N/A,0.7651496068436857,0.058101602478299895,3,"[0.8468468468468467, 0.7319078947368421, 0.7166940789473684]",0.7117681946834753,0.05601489029630908,3,"[0.7363221884498481, 0.7647164072284847, 0.634265988372093]"
fusion_lstm_lr_3e-4_lambda_1e-1_No_scheduler_epochs_100,0.0003,0.1,False,None,N/A,0.751986604577065,0.03462162245222528,3,"[0.8005733005733007, 0.7329358552631579, 0.7224506578947368]",0.7166679390288707,0.05580904963185205,3,"[0.7178951367781156, 0.7843979244945429, 0.6477107558139535]"
fusion_lstm_lr_3e-4_lambda_1e+00_No_scheduler_epochs_100,0.0003,1.0,False,None,N/A,0.6427150460867567,0.03330349224336519,3,"[0.6251023751023751, 0.6136924342105263, 0.6893503289473685]",0.6343628033269547,0.013597112302614102,3,"[0.6295592705167175, 0.6528896045804258, 0.6206395348837209]"
fusion_lstm_lr_1e-3_lambda_1e-3_No_scheduler_epochs_100,0.001,0.001,False,None,N/A,0.7516293581260687,0.04517382686358205,3,"[0.8112203112203112, 0.7417763157894737, 0.7018914473684211]",0.6786462794245484,0.06609352279047825,3,"[0.6548252279635258, 0.7688316335659331, 0.612281976744186]"
fusion_lstm_lr_1e-3_lambda_1e-2_No_scheduler_epochs_100,0.001,0.01,False,None,N/A,0.7571160237689843,0.03908841351489004,3,"[0.8081490581490582, 0.75, 0.7131990131578947]",0.7176581501367317,0.049025425077355765,3,"[0.7760258358662614, 0.7208803005904456, 0.6560683139534883]"
fusion_lstm_lr_1e-3_lambda_1e-1_No_scheduler_epochs_100,0.001,0.1,False,None,N/A,0.7528182339037602,0.02957954812724493,3,"[0.7938165438165439, 0.7251233552631579, 0.739514802631579]",0.7097363601604486,0.036782437521981605,3,"[0.7061170212765957, 0.7564859545535874, 0.6666061046511628]"
fusion_lstm_lr_1e-3_lambda_1e+00_No_scheduler_epochs_100,0.001,1.0,False,None,N/A,0.6253096229453138,0.04241129862141616,3,"[0.5990990990990992, 0.5916940789473684, 0.6851356907894737]",0.6388447444608346,0.05016668244836687,3,"[0.5884308510638298, 0.7072821613884416, 0.6208212209302325]"
