group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.001,True,CosineAnnealingLR,0.0001,0.7277460998678104,0.061705656241713064,3,"[0.7864455364455365, 0.7543174342105263, 0.6424753289473684]",0.5604766521843197,0.06621666002540783,3,"[0.6508358662613982, 0.5365897298264448, 0.4940043604651163]"
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7402332805293331,0.04101308711649771,3,"[0.7757985257985258, 0.7621299342105263, 0.6827713815789473]",0.649371310946,0.08906498427216412,3,"[0.7184650455927051, 0.7060297011987834, 0.5236191860465116]"
lstm_lr_1e-3_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.1,True,CosineAnnealingLR,0.0001,0.7109849831889306,0.04952766840575176,3,"[0.7653562653562652, 0.7220394736842104, 0.6455592105263158]",0.6083206288536732,0.10656483592090371,3,"[0.6762917933130699, 0.6908212560386474, 0.4578488372093024]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.001,0.6719962898005661,0.031332887761335,3,"[0.7115069615069615, 0.6696134868421053, 0.6348684210526316]",0.45225459317927214,0.03509507675118402,3,"[0.4333206686930091, 0.42198962247271427, 0.501453488372093]"
lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.0001,0.6961312201854964,0.04392695928917659,3,"[0.7526617526617526, 0.690172697368421, 0.6455592105263157]",0.48581761683783226,0.012556158331098709,3,"[0.47321428571428575, 0.5029522275899087, 0.4812863372093023]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.001,0.6760884875605271,0.03706333482453419,3,"[0.725839475839476, 0.6655016447368421, 0.6369243421052632]",0.5081092140596882,0.02615137716074387,3,"[0.5412234042553191, 0.505814993737699, 0.4772892441860465]"
lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.0001,0.6934798509634037,0.03788094842669592,3,"[0.7371007371007372, 0.6986019736842106, 0.6447368421052632]",0.5339326350408359,0.037483406429680156,3,"[0.5786474164133738, 0.5362318840579711, 0.4869186046511628]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.001,0.6393730378105378,0.051708184720914964,3,"[0.6134316134316133, 0.5931332236842104, 0.7115542763157895]",0.49425254865906937,0.13753067652434292,3,"[0.3727203647416413, 0.6865271068169619, 0.4235101744186046]"
lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.0001,0.6546846263129158,0.01695991311379583,3,"[0.6420966420966422, 0.6786595394736842, 0.643297697368421]",0.6048905073503175,0.04854976652286051,3,"[0.6707826747720365, 0.588656289139381, 0.555232558139535]"
