group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7161921939882466,0.06166178720779802,3,"[0.7661752661752661, 0.7530838815789473, 0.6293174342105262]",0.5592144963400066,0.05238628147405234,3,"[0.5714285714285714, 0.6163893361960995, 0.4898255813953488]"
lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200_batch_size_32,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7252155153059757,0.050433047204467236,3,"[0.7827600327600327, 0.732935855263158, 0.659950657894737]",0.6716231256464592,0.1017953945636308,3,"[0.7201747720364741, 0.7647164072284844, 0.5299781976744187]"
lstm_lr_1e-2_lambda_1e-2__scheduler_StepLRonPlateau_1e-4_epochs_200_batch_size_32,0.01,0.01,True,StepLRonPlateau,0.0001,0.7038094651170308,0.04073752323957336,3,"[0.7506142506142506, 0.7094983552631579, 0.6513157894736842]",0.5629545389261593,0.05764115976936263,3,"[0.6183510638297872, 0.5870459831812488, 0.48346656976744184]"
lstm_lr_1e-2_lambda_1e-2__scheduler_StepLRonPlateau_1e-4_epochs_200,0.01,0.01,True,StepLRonPlateau,0.0001,0.7218337693255457,0.04107595956488946,6,"[0.781122031122031, 0.717516447368421, 0.6700246710526315, 0.769041769041769, 0.7109375, 0.682360197368421]",0.6192933136436531,0.06115817901959456,6,"[0.6337386018237082, 0.6748971193415637, 0.609375, 0.6918693009118541, 0.6027911969940957, 0.5030886627906976]"
lstm_lr_1e-2_lambda_1e-2__scheduler_StepLRonPlateau_1e-4_epochs_300,0.01,0.01,True,StepLRonPlateau,0.0001,0.7372215778876964,0.03940655723164489,3,"[0.7731367731367731, 0.7561677631578948, 0.682360197368421]",0.5995766011930261,0.07342134502296194,3,"[0.6810410334346504, 0.6146001073537305, 0.5030886627906976]"
