group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.001,True,CosineAnnealingLR,0.0001,0.745379257098007,0.03053421891958709,3,"[0.7712940212940214, 0.7623355263157895, 0.7025082236842104]",0.7428139963161852,0.02825203358066639,3,"[0.7108662613981763, 0.7795670066201467, 0.7380087209302325]"
fusion_lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7275890573587942,0.0291688110645683,3,"[0.7510237510237512, 0.7452713815789473, 0.6864720394736842]",0.7580185294089908,0.022143354418668836,3,"[0.7515197568389058, 0.7877974592950437, 0.7347383720930233]"
fusion_lstm_lr_1e-3_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.1,True,CosineAnnealingLR,0.0001,0.7280302693542825,0.0023925751677016057,3,"[0.7291154791154791, 0.7247121710526316, 0.7302631578947368]",0.7022315294117334,0.024391600880314668,3,"[0.6827507598784195, 0.7366255144032923, 0.6873183139534885]"
fusion_lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.001,True,CosineAnnealingLR,0.001,0.7070368065433855,0.018832823244057207,3,"[0.6959459459459459, 0.7335526315789473, 0.6916118421052632]",0.6694053775489759,0.08632223722092307,3,"[0.550531914893617, 0.704777241009125, 0.7529069767441859]"
fusion_lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.001,True,CosineAnnealingLR,0.0001,0.7012821920305473,0.009444389623596764,3,"[0.6945126945126945, 0.7146381578947368, 0.6946957236842106]",0.5777083640388692,0.10157792625483286,3,"[0.4796732522796353, 0.7176596886741815, 0.5357921511627907]"
fusion_lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.01,True,CosineAnnealingLR,0.001,0.7337939202659598,0.028745012920853307,3,"[0.7739557739557739, 0.7191611842105262, 0.708264802631579]",0.6729666763566365,0.04084707110249825,3,"[0.6656534954407295, 0.7262479871175523, 0.6269985465116279]"
fusion_lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.01,True,CosineAnnealingLR,0.0001,0.733218453202006,0.04312496510728374,3,"[0.7938165438165439, 0.7088815789473685, 0.6969572368421052]",0.7283608740054062,0.03588262939511316,3,"[0.7302431610942249, 0.7713365539452496, 0.6835029069767442]"
fusion_lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.1,True,CosineAnnealingLR,0.001,0.6916620193758352,0.022019888298437602,3,"[0.6633906633906634, 0.6944901315789473, 0.7171052631578947]",0.6429054544085934,0.07176325684625831,3,"[0.5520516717325228, 0.7275004473072106, 0.6491642441860466]"
fusion_lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.1,True,CosineAnnealingLR,0.0001,0.7311734207293418,0.007491690054310286,3,"[0.7358722358722359, 0.737047697368421, 0.7206003289473685]",0.7228118162336834,0.04912560802069418,3,"[0.7437310030395137, 0.7697262479871175, 0.6549781976744187]"
