group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.001,True,CosineAnnealingLR,0.0001,0.7266540426491085,0.020098318195354462,3,"[0.7332104832104833, 0.7473273026315789, 0.699424342105263]",0.7469947426507798,0.006158875909026508,3,"[0.740501519756839, 0.7452138128466631, 0.7552688953488373]"
fusion_lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7353335879240483,0.016149492328234136,3,"[0.7506142506142507, 0.742393092105263, 0.7129934210526315]",0.7247439352307529,0.02955815995324887,3,"[0.690919452887538, 0.7629271783861157, 0.7203851744186046]"
fusion_lstm_lr_1e-3_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.001,0.1,True,CosineAnnealingLR,0.0001,0.7328330592105263,0.0038034539473684736,2,"[0.7366365131578948, 0.7290296052631579]",0.740944970940635,0.008205145359239663,2,"[0.7491501162998747, 0.7327398255813954]"
fusion_lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.001,True,CosineAnnealingLR,0.001,0.702889323983074,0.01447757619504455,3,"[0.721949221949222, 0.6998355263157894, 0.6868832236842105]",0.6396702558148367,0.04522968677248355,3,"[0.662613981762918, 0.6799069601001968, 0.5764898255813954]"
fusion_lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.001,True,CosineAnnealingLR,0.0001,0.7576659251206949,0.021114810195977652,3,"[0.781941031941032, 0.7605879934210525, 0.7304687499999999]",0.6145521424861838,0.09410450725399186,3,"[0.6286094224924011, 0.7221327607801037, 0.49291424418604657]"
fusion_lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.01,True,CosineAnnealingLR,0.001,0.7419043969208444,0.026916601004266783,3,"[0.7565520065520065, 0.7650082236842106, 0.7041529605263158]",0.702347837382146,0.07181449340905098,3,"[0.6196808510638299, 0.7947754517802826, 0.6925872093023255]"
fusion_lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.01,True,CosineAnnealingLR,0.0001,0.7249070990847306,0.02589650565132526,3,"[0.7577805077805078, 0.6944901315789475, 0.7224506578947368]",0.6990413070107379,0.026230338870319635,3,"[0.6624240121580547, 0.7224906065485774, 0.7122093023255814]"
fusion_lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-3_epochs_200,0.01,0.1,True,CosineAnnealingLR,0.001,0.6908017654316998,0.02778217579853802,3,"[0.6910319410319411, 0.6566611842105263, 0.7247121710526316]",0.6257324359808537,0.10340305528083914,3,"[0.5007598784194529, 0.7539810341742709, 0.6224563953488372]"
fusion_lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_200,0.01,0.1,True,CosineAnnealingLR,0.0001,0.7174639127764127,0.01896654808191414,3,"[0.7383292383292382, 0.7216282894736842, 0.6924342105263157]",0.7244931984522974,0.0384364175180019,3,"[0.7298632218844985, 0.7686527106816962, 0.6749636627906976]"
