group,lr,lambda_reg,use_scheduler,scheduler_type,eta_min,mean_val_seen,std_val_seen,n_runs_seen,values_seen,mean_val_unseen_at_best_val_seen,std_val_unseen_at_best_val_seen,n_runs_unseen_at_best_val_seen,values_unseen_at_best_val_seen
fusion_lstm_lr_1e-3_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.001,True,CosineAnnealingLR,0.0001,0.7431037122648965,0.032388567162374315,3,"[0.7815315315315315, 0.7454769736842105, 0.7023026315789475]",0.7130848714626407,0.07077618020935847,3,"[0.6141717325227964, 0.775809626051172, 0.7492732558139535]"
fusion_lstm_lr_1e-3_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.01,True,CosineAnnealingLR,0.0001,0.7262097436850726,0.0278534850090437,3,"[0.7573710073710074, 0.7314967105263158, 0.6897615131578947]",0.756846083014567,0.03139373413661358,3,"[0.7420212765957446, 0.8005009840758633, 0.7280159883720931]"
fusion_lstm_lr_1e-3_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.001,0.1,True,CosineAnnealingLR,0.0001,0.7264998626018363,0.018065890415191497,3,"[0.7457002457002456, 0.7314967105263159, 0.7023026315789472]",0.7287914046595324,0.03756770377603613,3,"[0.7169452887537994, 0.7795670066201468, 0.6898619186046512]"
fusion_lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.001,0.717720075039154,0.048703000521780025,3,"[0.7514332514332515, 0.7528782894736842, 0.6488486842105263]",0.5705083061367419,0.12265710685964658,3,"[0.5191869300911853, 0.7396672034353193, 0.45267078488372087]"
fusion_lstm_lr_1e-2_lambda_1e-3__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.001,True,CosineAnnealingLR,0.0001,0.7031665337586389,0.02460792778881867,3,"[0.7196969696969696, 0.721422697368421, 0.6683799342105262]",0.63978730603002,0.07515123937857865,3,"[0.5531914893617023, 0.7364465915190553, 0.6297238372093024]"
fusion_lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.001,0.7226703378019167,0.054574289035366125,3,"[0.7897215397215397, 0.7222450657894738, 0.656044407894737]",0.5860921325486514,0.11318488817880934,3,"[0.6287993920972645, 0.6983360171765969, 0.431140988372093]"
fusion_lstm_lr_1e-2_lambda_1e-2__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.01,True,CosineAnnealingLR,0.0001,0.7345900634860338,0.030130359348827473,4,"[0.711916461916462, 0.7788697788697788, 0.7023026315789473, 0.7452713815789472]",0.6619906140993438,0.08464103501208592,3,"[0.6512158054711247, 0.7706208624083021, 0.5641351744186046]"
fusion_lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-3_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.001,0.7003090111642744,0.006150508806481779,3,"[0.7045454545454546, 0.691611842105263, 0.7047697368421053]",0.6420835044527666,0.07260825858865305,3,"[0.5615501519756838, 0.7375201288244767, 0.6271802325581395]"
fusion_lstm_lr_1e-2_lambda_1e-1__scheduler_CosineAnnealingLR_1e-4_epochs_300,0.01,0.1,True,CosineAnnealingLR,0.0001,0.7402652727488254,0.020074760001845555,3,"[0.7524570024570025, 0.7563733552631579, 0.7119654605263158]",0.75189838720656,0.04126714561756463,3,"[0.7450607902735561, 0.8055108248344962, 0.7051235465116279]"
